evy,python
"//  Given a positive integer n, return the count of the numbers of n-digit
//  positive integers that start or end with 1.
func count1:num n:num
    if n == 1
        return 1
    end
    return 18 * (pow 10 n-2)
end

func test
    assert 1 (count1 1)
    assert 18 (count1 2)
    assert 180 (count1 3)
    assert 1800 (count1 4)
    assert 18000 (count1 5)
end



func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

test
printResult
","Can you convert this python to evy for me?
```python

def starts_one_ends(n):
    """"""
    Given a positive integer n, return the count of the numbers of n-digit
    positive integers that start or end with 1.
    """"""

    if n == 1: return 1
    return 18 * (10 ** (n - 2))

def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(1) == 1
    assert candidate(2) == 18
    assert candidate(3) == 180
    assert candidate(4) == 1800
    assert candidate(5) == 18000

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""


check(starts_one_ends)

```"
"//  It is the last week of the semester and the teacher has to give the grades
//  to students. The teacher has been making her own algorithm for grading.
//  The only problem is, she has lost the code she used for grading.
//  She has given you a list of GPAs for some students and you have to write
//  a function that can output a list of letter grades using the following table:
//           GPA       |    Letter grade
//            4.0                A+
//          > 3.7                A
//          > 3.3                A-
//          > 3.0                B+
//          > 2.7                B
//          > 2.3                B-
//          > 2.0                C+
//          > 1.7                C
//          > 1.3                C-
//          > 1.0                D+
//          > 0.7                D
//          > 0.0                D-
//            0.0                E
//  Example:
//  grade_equation [4.0, 3, 1.7, 2, 3.5]  ==> [""A+"", ""B"", ""C-"", ""C"", ""A-""]
func grades:[]string gpas:[]num
    result:[]string
    for gpa := range gpas
        result = result + [(grade gpa)]
    end
    return result
end

func grade:string gpa:num
    if gpa == 4
        return ""A+""
    else if gpa > 3.7
        return ""A""
    else if gpa > 3.3
        return ""A-""
    else if gpa > 3
        return ""B+""
    else if gpa > 2.7
        return ""B""
    else if gpa > 2.3
        return ""B-""
    else if gpa > 2
        return ""C+""
    else if gpa > 1.7
        return ""C""
    else if gpa > 1.3
        return ""C-""
    else if gpa > 1
        return ""D+""
    else if gpa > 0.7
        return ""D""
    else if gpa > 0
        return ""D-""
    else if gpa == 0
        return ""E""
    end
    return sprint ""invalid gpa"" gpa
end

func test
    assert [""A+"" ""B"" ""C-"" ""C"" ""A-""] (grades [4 3 1.7 2 3.5])
    assert [""D+""] (grades [1.2])
    assert [""D-""] (grades [0.5])
    assert [""E""] (grades [0])
    assert [""D"" ""D-"" ""C-"" ""B"" ""B+""] (grades [1 0.3 1.5 2.8 3.3])
    assert [""E"" ""D-""] (grades [0 0.7])
end



func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

test
printResult
","Can you convert this python to evy for me?
```python

def numerical_letter_grade(grades):
    """"""It is the last week of the semester and the teacher has to give the grades
    to students. The teacher has been making her own algorithm for grading.
    The only problem is, she has lost the raw she used for grading.
    She has given you a list of GPAs for some students and you have to write 
    a function that can output a list of letter grades using the following table:
             GPA       |    Letter grade
              4.0                A+
            > 3.7                A 
            > 3.3                A- 
            > 3.0                B+
            > 2.7                B 
            > 2.3                B-
            > 2.0                C+
            > 1.7                C
            > 1.3                C-
            > 1.0                D+ 
            > 0.7                D 
            > 0.0                D-
              0.0                E
    

    Example:
    grade_equation([4.0, 3, 1.7, 2, 3.5]) ==> ['A+', 'B', 'C-', 'C', 'A-']
    """"""


   
    letter_grade = []
    for gpa in grades:
        if gpa == 4.0:
            letter_grade.append(""A+"")
        elif gpa > 3.7:
            letter_grade.append(""A"")
        elif gpa > 3.3:
            letter_grade.append(""A-"")
        elif gpa > 3.0:
            letter_grade.append(""B+"")
        elif gpa > 2.7:
            letter_grade.append(""B"")
        elif gpa > 2.3:
            letter_grade.append(""B-"")
        elif gpa > 2.0:
            letter_grade.append(""C+"")
        elif gpa > 1.7:
            letter_grade.append(""C"")
        elif gpa > 1.3:
            letter_grade.append(""C-"")
        elif gpa > 1.0:
            letter_grade.append(""D+"")
        elif gpa > 0.7:
            letter_grade.append(""D"")
        elif gpa > 0.0:
            letter_grade.append(""D-"")
        else:
            letter_grade.append(""E"")
    return letter_grade

def check(candidate):

    # Check some simple cases
    assert candidate([4.0, 3, 1.7, 2, 3.5]) == ['A+', 'B', 'C-', 'C', 'A-']
    assert candidate([1.2]) == ['D+']
    assert candidate([0.5]) == ['D-']
    assert candidate([0.0]) == ['E']
    assert candidate([1, 0.3, 1.5, 2.8, 3.3]) == ['D', 'D-', 'C-', 'B', 'B+']
    assert candidate([0, 0.7]) == ['E', 'D-']

    # Check some edge cases that are easy to work out by hand.
    assert True


check(numerical_letter_grade)

```"
"//""Return list with elements incremented by 1.
// inc [1 2 3] // [2 3 4]
// inc [5 3 5 2 3 3 9 0 123] // [6 4 6 3 4 4 10 1 124]
func inc:[]num nums:[]num
    result := nums[:]
    for i := range (len result)
        result[i] = result[i] + 1
    end
    return result
end

func test
    assert [] (inc [])
    assert [4 3 2] (inc [3 2 1])
    assert [6 3 6 3 4 4 10 1 124] (inc [5 2 5 2 3 3 9 0 123])
end


","Can you convert this python to evy for me?
```python


def incr_list(l: list):
    """"""Return list with elements incremented by 1.
    >>> incr_list([1, 2, 3])
    [2, 3, 4]
    >>> incr_list([5, 3, 5, 2, 3, 3, 9, 0, 123])
    [6, 4, 6, 3, 4, 4, 10, 1, 124]
    """"""

    return [(e + 1) for e in l]



METADATA = {}


def check(candidate):
    assert candidate([]) == []
    assert candidate([3, 2, 1]) == [4, 3, 2]
    assert candidate([5, 2, 5, 2, 3, 3, 9, 0, 123]) == [6, 3, 6, 3, 4, 4, 10, 1, 124]


check(incr_list)

```"
"// brackets is a string of ""<"" and "">"". return true if every opening bracket
// has a corresponding closing bracket.
//
// correct_bracketing ""<"" // false
// correct_bracketing ""<>"" // true
// correct_bracketing ""<<><>>"" // true
// correct_bracketing ""><<>"" // false
func checkBrackets:bool str:string
    depth := 0
    for ch := range str
        if ch == ""<""
            depth = depth + 1
        else
            depth = depth - 1
        end
        if depth < 0
            return false
        end
    end
    return depth == 0
end

func test
    assert true==(checkBrackets """")
    assert true==(checkBrackets ""<>"")
    assert true==(checkBrackets ""<<><>>"")
    assert true==(checkBrackets ""<><><<><>><>"")
    assert true==(checkBrackets ""<><><<<><><>><>><<><><<>>>"")
    assert false==(checkBrackets ""<<<><>>>>"")
    assert false==(checkBrackets ""><<>"")
    assert false==(checkBrackets ""<"")
    assert false==(checkBrackets ""<<<<"")
    assert false==(checkBrackets "">"")
    assert false==(checkBrackets ""<<>"")
    assert false==(checkBrackets ""<><><<><>><>><<>"")
    assert false==(checkBrackets ""<><><<><>><>>><>"")
end


","Can you convert this python to evy for me?
```python


def correct_bracketing(brackets: str):
    """""" brackets is a string of ""<"" and "">"".
    return True if every opening bracket has a corresponding closing bracket.

    >>> correct_bracketing(""<"")
    False
    >>> correct_bracketing(""<>"")
    True
    >>> correct_bracketing(""<<><>>"")
    True
    >>> correct_bracketing(""><<>"")
    False
    """"""

    depth = 0
    for b in brackets:
        if b == ""<"":
            depth += 1
        else:
            depth -= 1
        if depth < 0:
            return False
    return depth == 0



METADATA = {}


def check(candidate):
    assert candidate(""<>"")
    assert candidate(""<<><>>"")
    assert candidate(""<><><<><>><>"")
    assert candidate(""<><><<<><><>><>><<><><<>>>"")
    assert not candidate(""<<<><>>>>"")
    assert not candidate(""><<>"")
    assert not candidate(""<"")
    assert not candidate(""<<<<"")
    assert not candidate("">"")
    assert not candidate(""<<>"")
    assert not candidate(""<><><<><>><>><<>"")
    assert not candidate(""<><><<><>><>>><>"")


check(correct_bracketing)

```"
"func Node:{}any
    self:{}any
    self.next = {}
    self.isend = false
    return self
end

func Trie:{}any
    self:{}any
    self.data = (Node)
    return self
end

func insert self:{}any word:string
    node:{}any
    node = self.data.({}any)
    for ch := range word
        next := node.next.({}any)
        if !(has next ch)
            next[ch] = (Node)
        end
        node = next[ch].({}any)
    end
    node.isend = true
end

func search:bool self:{}any word:string
    node:{}any
    node = self.data.({}any)
    for ch := range word
        next := node.next.({}any)
        if !(has next ch)
            return false
        end
        node = next[ch].({}any)
    end
    return node.isend.(bool)
end

func startsWith:bool self:{}any prefix:string
    node:{}any
    node = self.data.({}any)
    for ch := range prefix
        next := node.next.({}any)
        if !(has next ch)
            return false
        end
        node = next[ch].({}any)
    end
    return true
end

func test
    trie := (Trie)
    insert trie ""apple""
    assert true==(search trie ""apple"")
    assert false==(search trie ""app"")
    assert true==(startsWith trie ""app"")
    insert trie ""app""
    assert true==(search trie ""app"")
end
","Can you convert this python to evy for me?
```python
class Node:
    def __init__(self):
        self.next = {}
        self.is_end = False

class Trie:
    def __init__(self):
        self.data = Node()

    def insert(self, word: str) -> None:
        node = self.data
        for ch in word:
            if ch not in node.next:
                node.next[ch] = Node()
            node = node.next[ch]
        node.is_end = True

    def search(self, word: str) -> bool:
        node = self.data
        for ch in word:
            if ch not in node.next:
                return False
            node = node.next[ch]
        return node.is_end

    def startsWith(self, prefix: str) -> bool:
        node = self.data
        for ch in prefix:
            if ch not in node.next:
                return False
            node = node.next[ch]
        return True

def test():
    trie = Trie()
    trie.insert(""apple"")
    assert(trie.search(""apple""))
    assert(not trie.search(""app""))
    assert(trie.startsWith(""app""))
    trie.insert(""app"")
    assert(trie.search(""app""))

test()
```"
"// Return true if list elements are monotonically increasing or decreasing.
// monotonic([1, 2, 4, 20]) // true
// monotonic([1, 20, 4, 10]) // false
// monotonic([4, 1, 0, -10]) // true
func monotonic:bool nums:[]num
    numsInc := nums[:]
    numsDec := nums[:]
    sort numsInc true
    sort numsDec false
    return nums == numsInc or nums == numsDec
end

func sort arr:[]num inc:bool
    // bubble sort
    for endIdx := range (len arr)-1 0 -1
        for i := range endIdx
            if (inc and arr[i] > arr[i + 1]) or (!inc and arr[i] < arr[i + 1])
                tmp := arr[i]
                arr[i] = arr[i + 1]
                arr[i + 1] = tmp
            end
        end
    end
end

func test
    assert true==(monotonic [1 2 4 10])
    assert true==(monotonic [1 2 4 20])
    assert false==(monotonic [1 20 4 10])
    assert true==(monotonic [4 1 0 -10])
    assert true==(monotonic [4 1 1 0])
    assert false==(monotonic [1 2 3 2 5 60])
    assert true==(monotonic [1 2 3 4 5 60])
    assert true==(monotonic [9 9 9 9])
end


","Can you convert this python to evy for me?
```python


def monotonic(l: list):
    """"""Return True is list elements are monotonically increasing or decreasing.
    >>> monotonic([1, 2, 4, 20])
    True
    >>> monotonic([1, 20, 4, 10])
    False
    >>> monotonic([4, 1, 0, -10])
    True
    """"""

    if l == sorted(l) or l == sorted(l, reverse=True):
        return True
    return False



METADATA = {}


def check(candidate):
    assert candidate([1, 2, 4, 10]) == True
    assert candidate([1, 2, 4, 20]) == True
    assert candidate([1, 20, 4, 10]) == False
    assert candidate([4, 1, 0, -10]) == True
    assert candidate([4, 1, 1, 0]) == True
    assert candidate([1, 2, 3, 2, 5, 60]) == False
    assert candidate([1, 2, 3, 4, 5, 60]) == True
    assert candidate([9, 9, 9, 9]) == True


check(monotonic)

```"
"// sumZero takes a list of integers as an input.
// it returns True if there are two distinct elements in the list that
// sum to zero, and False otherwise.
// sumZero [1 3 5 0] // false
// sumZero [1 3 -2 1] // false
// sumZero [1 2 3 7] // false
// sumZero [2 4 -5 3 5 7] // true
// sumZero [1] // false
func sumZero:bool nums:[]num
    length := len nums
    for i := range length
        for j := range i+1 length
            if nums[i] + nums[j] == 0
                return true
            end
        end
    end
    return false
end

func test
    assert false==(sumZero [1 3 5 0])
    assert false==(sumZero [1 3 -2 1])
    assert false==(sumZero [1 2 3 7])
    assert true==(sumZero [2 4 -5 3 5 7])
    assert false==(sumZero [1])
    assert true==(sumZero [-3 9 -1 3 2 30])
    assert true==(sumZero [-3 9 -1 3 2 31])
    assert false==(sumZero [-3 9 -1 4 2 30])
    assert false==(sumZero [-3 9 -1 4 2 31])
end


","Can you convert this python to evy for me?
```python


def pairs_sum_to_zero(l):
    """"""
    pairs_sum_to_zero takes a list of integers as an input.
    it returns True if there are two distinct elements in the list that
    sum to zero, and False otherwise.
    >>> pairs_sum_to_zero([1, 3, 5, 0])
    False
    >>> pairs_sum_to_zero([1, 3, -2, 1])
    False
    >>> pairs_sum_to_zero([1, 2, 3, 7])
    False
    >>> pairs_sum_to_zero([2, 4, -5, 3, 5, 7])
    True
    >>> pairs_sum_to_zero([1])
    False
    """"""

    for i, l1 in enumerate(l):
        for j in range(i + 1, len(l)):
            if l1 + l[j] == 0:
                return True
    return False



METADATA = {}


def check(candidate):
    assert candidate([1, 3, 5, 0]) == False
    assert candidate([1, 3, -2, 1]) == False
    assert candidate([1, 2, 3, 7]) == False
    assert candidate([2, 4, -5, 3, 5, 7]) == True
    assert candidate([1]) == False

    assert candidate([-3, 9, -1, 3, 2, 30]) == True
    assert candidate([-3, 9, -1, 3, 2, 31]) == True
    assert candidate([-3, 9, -1, 4, 2, 30]) == False
    assert candidate([-3, 9, -1, 4, 2, 31]) == False


check(pairs_sum_to_zero)

```"
"//  You are given a string s. Your task is to check if the string is happy or
//  not. A string is happy if its length is at least 3 and every 3
//  consecutive letters are distinct
//
//  For example:
//  happy ""a"" // false
//  happy ""aa"" // false
//  happy ""abcd"" // true
//  happy ""aabb"" // false
//  happy ""adb"" // true
//  happy ""xyy"" // false
func happy:bool s:string
    length := len s
    if length < 3
        return false
    end
    for i := range length-2
        if s[i] == s[i + 1] or s[i] == s[i + 2] or s[i + 1] == s[i + 2]
            return false
        end
    end
    return true
end

func test
    assert false==(happy ""a"")
    assert false==(happy ""aa"")
    assert true==(happy ""abcd"")
    assert false==(happy ""aabb"")
    assert true==(happy ""adb"")
    assert false==(happy ""xyy"")
    assert true==(happy ""iopaxpoi"")
    assert false==(happy ""iopaxioi"")
end



func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

test
printResult
","Can you convert this python to evy for me?
```python

def is_happy(s):
    """"""You are given a string s.
    Your task is to check if the string is happy or not.
    A string is happy if its length is at least 3 and every 3 consecutive letters are distinct
    For example:
    is_happy(a) => False
    is_happy(aa) => False
    is_happy(abcd) => True
    is_happy(aabb) => False
    is_happy(adb) => True
    is_happy(xyy) => False
    """"""

    if len(s) < 3:
      return False

    for i in range(len(s) - 2):

      if s[i] == s[i+1] or s[i+1] == s[i+2] or s[i] == s[i+2]:
        return False
    return True

def check(candidate):

    # Check some simple cases
    assert candidate(""a"") == False , ""a""
    assert candidate(""aa"") == False , ""aa""
    assert candidate(""abcd"") == True , ""abcd""
    assert candidate(""aabb"") == False , ""aabb""
    assert candidate(""adb"") == True , ""adb""
    assert candidate(""xyy"") == False , ""xyy""
    assert candidate(""iopaxpoi"") == True , ""iopaxpoi""
    assert candidate(""iopaxioi"") == False , ""iopaxioi""

check(is_happy)

```"
"// Find how many times a given substring can be found in the original string.
// Count overlapping cases.
// findTimes "" """" // 0
// findTimes ""aa"" """" // 3
// findTimes ""aaa"" ""a"" // 3
func findTimes:num str:string sub:string
    times := 0
    rend := (len str) - (len sub) + 1
    for i := range rend
        if str[i:i + (len sub)] == sub
            times = times + 1
        end
    end
    return times
end

func test
    assert 0 (findTimes """" ""x"")
    assert 4 (findTimes ""xyxyxyx"" ""x"")
    assert 4 (findTimes ""cacacacac"" ""cac"")
    assert 1 (findTimes ""john doe"" ""john"")
end



","Can you convert this python to evy for me?
```python


def how_many_times(string: str, substring: str) -> int:
    """""" Find how many times a given substring can be found in the original string. Count overlaping cases.
    >>> how_many_times('', 'a')
    0
    >>> how_many_times('aaa', 'a')
    3
    >>> how_many_times('aaaa', 'aa')
    3
    """"""

    times = 0

    for i in range(len(string) - len(substring) + 1):
        if string[i:i+len(substring)] == substring:
            times += 1

    return times



METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate('', 'x') == 0
    assert candidate('xyxyxyx', 'x') == 4
    assert candidate('cacacacac', 'cac') == 4
    assert candidate('john doe', 'john') == 1

check(how_many_times)

```"
"// For a given number n, find the largest number that divides n evenly, smaller than n
// largestDivisor(15) // 5
func largestDivisor:num n:num
    for i := range n-1 0 -1
        if n % i == 0
            return i
        end
    end
    return -1
end

func test
    assert 1==(largestDivisor 3)
    assert 1==(largestDivisor 7)
    assert 5==(largestDivisor 10)
    assert 50==(largestDivisor 100)
    assert 7==(largestDivisor 49)
end



","Can you convert this python to evy for me?
```python


def largest_divisor(n: int) -> int:
    """""" For a given number n, find the largest number that divides n evenly, smaller than n
    >>> largest_divisor(15)
    5
    """"""

    for i in reversed(range(n)):
        if n % i == 0:
            return i



METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate(3) == 1
    assert candidate(7) == 1
    assert candidate(10) == 5
    assert candidate(100) == 50
    assert candidate(49) == 7

check(largest_divisor)

```"
"// Return only positive numbers in the list.
// getPositive [-1 2 -4 5 6] // [2, 5, 6]
// getPositive [5 3 -5 2 -3 3 9 0 123 1 -10] // [5 3 2 3 9 123 1]
func getPositive:[]num nums:[]num
    result:[]num
    for n := range nums
        if n > 0
            result = result + [n]
        end
    end
    return result
end

func test
    assert [4 5 6]==(getPositive [-1 -2 4 5 6])
    assert [5 3 2 3 3 9 123 1]==(getPositive [5 3 -5 2 3 3 9 0 123 1 -10])
    assert []==(getPositive [-1 -2])
    assert []==(getPositive [])
end



","Can you convert this python to evy for me?
```python


def get_positive(l: list):
    """"""Return only positive numbers in the list.
    >>> get_positive([-1, 2, -4, 5, 6])
    [2, 5, 6]
    >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    [5, 3, 2, 3, 9, 123, 1]
    """"""

    return [e for e in l if e > 0]



METADATA = {}


def check(candidate):
    assert candidate([-1, -2, 4, 5, 6]) == [4, 5, 6]
    assert candidate([5, 3, -5, 2, 3, 3, 9, 0, 123, 1, -10]) == [5, 3, 2, 3, 3, 9, 123, 1]
    assert candidate([-1, -2]) == []
    assert candidate([]) == []


check(get_positive)

```"
"func twosum:[]num nums:[]num target:num
    m:{}num
    for i := range (len nums)
        v := nums[i]
        if has m (sprintf ""%v"" (target - v))
            return [m[sprintf ""%v"" (target - v)] i]
        end
        m[sprintf ""%v"" v] = i
    end
    return []
end

func test
    assert [0 1]==(twosum [2 7 11 15] 9)
    assert [1 2]==(twosum [3 2 4] 6)
    assert [0 1]==(twosum [3 3] 6)
end
","Can you convert this python to evy for me?
```python
def two_sum(nums, target):
    num_dict = {}
    for i, v in enumerate(nums):
        if str(target - v) in num_dict:
            return [num_dict[str(v)], i]
        num_dict[str(v)] = i
    return []

def test():
    assert two_sum([2, 7, 11, 15], 9) == [0, 1]
    assert two_sum([3, 2, 4], 6) == [1, 2]
    assert two_sum([3, 3], 6) == [0, 1]

```"
"message := ""Hello, Python!""
counter := 42
price := 19.99
is_active := true
print (message) (counter) (price) (is_active)
","Can you convert this python to evy for me?
```python
message = ""Hello, Python!""
counter = 42
price = 19.99
is_active = True
print(message, counter, price, is_active)

```"
"// Return true if a given number is prime, and false otherwise.
// isPrime 6 // false
// isPrime 101 // true
// isPrime 11 // true
// isPrime 13441 // true
// isPrime 61 // true
// isPrime 4 // false
// isPrime 1 // false
func isPrime:bool n:num
    if n < 2
        return false
    end
    for k := range 2 (sqrt n)+1
        if n % k == 0
            return false
        end
    end
    return true
end

func test
    assert false==(isPrime 6)
    assert true==(isPrime 101)
    assert true==(isPrime 11)
    assert true==(isPrime 13441)
    assert true==(isPrime 61)
    assert false==(isPrime 4)
    assert false==(isPrime 1)
    assert true==(isPrime 5)
    assert true==(isPrime 11)
    assert true==(isPrime 17)
    assert false==(isPrime 5*17)
    assert false==(isPrime 11*7)
    assert false==(isPrime 13441*19)
end



","Can you convert this python to evy for me?
```python


def is_prime(n):
    """"""Return true if a given number is prime, and false otherwise.
    >>> is_prime(6)
    False
    >>> is_prime(101)
    True
    >>> is_prime(11)
    True
    >>> is_prime(13441)
    True
    >>> is_prime(61)
    True
    >>> is_prime(4)
    False
    >>> is_prime(1)
    False
    """"""

    if n < 2:
        return False
    for k in range(2, n - 1):
        if n % k == 0:
            return False
    return True



METADATA = {}


def check(candidate):
    assert candidate(6) == False
    assert candidate(101) == True
    assert candidate(11) == True
    assert candidate(13441) == True
    assert candidate(61) == True
    assert candidate(4) == False
    assert candidate(1) == False
    assert candidate(5) == True
    assert candidate(11) == True
    assert candidate(17) == True
    assert candidate(5 * 17) == False
    assert candidate(11 * 7) == False
    assert candidate(13441 * 19) == False


check(is_prime)

```"
"// Return list of prime factors of given integer in the order from smallest to
// largest. Each of the factors should be listed number of times
// corresponding to how many times it appears in factorization. Input number
// should be equal to the product of all factors
// factorize 8 // [2, 2, 2]
// factorize 25 // [5, 5]
// factorize 70 // [2, 5, 7]
func factorize:[]num n:num
    result:[]num
    i := 2
    while i <= (sqrt n) + 1
        if n % i == 0
            result = result + [i]
            n = n / i
        else
            i = i + 1
        end
    end
    if n > 1
        result = result + [n]
    end
    return result
end

func test
    assert [2] (factorize 2)
    assert [2 2] (factorize 4)
    assert [2 2 2] (factorize 8)
    assert [3 19] (factorize 3*19)
    assert [3 3 19 19] (factorize 3*19*3*19)
    assert [3 3 3 19 19 19] (factorize 3*19*3*19*3*19)
    assert [3 19 19 19] (factorize 3*19*19*19)
    assert [2 3 3] (factorize 3*2*3)
end



","Can you convert this python to evy for me?
```python
from typing import List


def factorize(n: int) -> List[int]:
    """""" Return list of prime factors of given integer in the order from smallest to largest.
    Each of the factors should be listed number of times corresponding to how many times it appeares in factorization.
    Input number should be equal to the product of all factors
    >>> factorize(8)
    [2, 2, 2]
    >>> factorize(25)
    [5, 5]
    >>> factorize(70)
    [2, 5, 7]
    """"""

    import math
    fact = []
    i = 2
    while i <= int(math.sqrt(n) + 1):
        if n % i == 0:
            fact.append(i)
            n //= i
        else:
            i += 1

    if n > 1:
        fact.append(n)
    return fact



METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate(2) == [2]
    assert candidate(4) == [2, 2]
    assert candidate(8) == [2, 2, 2]
    assert candidate(3 * 19) == [3, 19]
    assert candidate(3 * 19 * 3 * 19) == [3, 3, 19, 19]
    assert candidate(3 * 19 * 3 * 19 * 3 * 19) == [3, 3, 3, 19, 19, 19]
    assert candidate(3 * 19 * 19 * 19) == [3, 19, 19, 19]
    assert candidate(3 * 2 * 3) == [2, 3, 3]

check(factorize)

```"
"// Input is a space-delimited string of numerals from ""zero"" to ""nine"".
// Valid choices are ""zero"", ""one"", ""two"", ""three"", ""four"", ""five"", ""six"", ""seven"", ""eight"" and ""nine"".
// Return the string with numbers sorted from smallest to largest
// sortNumbers ""three one five"" // ""one three five""
func sortNumbers:string numbers:string
    map := {zero:0 one:1 two:2 three:3 four:4 five:5 six:6 seven:7 eight:8 nine:9}
    arr := split numbers "" ""
    // bubble sort
    for endIdx := range (len arr)-1 0 -1
        for i := range endIdx
            if map[arr[i]] > map[arr[i + 1]]
                tmp := arr[i]
                arr[i] = arr[i + 1]
                arr[i + 1] = tmp
            end
        end
    end
    return join arr "" ""
end

func test
    assert """" (sortNumbers """")
    assert ""three"" (sortNumbers ""three"")
    assert ""three five nine"" (sortNumbers ""three five nine"")
    assert ""zero four five seven eight nine"" (sortNumbers ""five zero four seven nine eight"")
    assert ""zero one two three four five six"" (sortNumbers ""six five four three two one zero"")
end



","Can you convert this python to evy for me?
```python
from typing import List


def sort_numbers(numbers: str) -> str:
    """""" Input is a space-delimited string of numberals from 'zero' to 'nine'.
    Valid choices are 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' and 'nine'.
    Return the string with numbers sorted from smallest to largest
    >>> sort_numbers('three one five')
    'one three five'
    """"""

    value_map = {
        'zero': 0,
        'one': 1,
        'two': 2,
        'three': 3,
        'four': 4,
        'five': 5,
        'six': 6,
        'seven': 7,
        'eight': 8,
        'nine': 9
    }
    return ' '.join(sorted([x for x in numbers.split(' ') if x], key=lambda x: value_map[x]))



METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate('') == ''
    assert candidate('three') == 'three'
    assert candidate('three five nine') == 'three five nine'
    assert candidate('five zero four seven nine eight') == 'zero four five seven eight nine'
    assert candidate('six five four three two one zero') == 'zero one two three four five six'

check(sort_numbers)

```"
"// This function takes a list l and returns a list l' such that l' is
// identical to l in the indices that are not divisible by three, while its
// values at the indices that are divisible by three are equal to the
// values of the corresponding indices of l, but sorted.
// sort_third [1 2 3] // [1 2 3]
// sort_third [5 6 3 4 8 9 2] // [2 6 3 4 8 9 5]
func sort_third:[]num nums:[]num
    div3:[]num
    for i := range 0 (len nums) 3
        div3 = div3 + [nums[i]]
    end
    sort div3
    result := [0] * (len nums)

    for i := range (len nums)
        if i % 3 == 0
            result[i] = div3[i / 3]
        else
            result[i] = nums[i]
        end
    end
    return result
end

func sort arr:[]num
    // bubble sort
    for endIdx := range (len arr)-1 0 -1
        for i := range endIdx
            if arr[i] > arr[i + 1]
                tmp := arr[i]
                arr[i] = arr[i + 1]
                arr[i + 1] = tmp
            end
        end
    end
end

func test
    assert [1 2 3] (sort_third [1 2 3])
    assert [1 3 -5 2 -3 3 5 0 123 9 -10] (sort_third [5 3 -5 2 -3 3 9 0 123 1 -10])
    assert [-10 8 -12 3 23 2 4 11 12 5] (sort_third [5 8 -12 4 23 2 3 11 12 -10])
    assert [2 6 3 4 8 9 5] (sort_third [5 6 3 4 8 9 2])
    assert [2 8 3 4 6 9 5] (sort_third [5 8 3 4 6 9 2])
    assert [2 6 9 4 8 3 5] (sort_third [5 6 9 4 8 3 2])
    assert [2 6 3 4 8 9 5 1] (sort_third [5 6 3 4 8 9 2 1])
end



","Can you convert this python to evy for me?
```python


def sort_third(l: list):
    """"""This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
    """"""

    l = list(l)
    l[::3] = sorted(l[::3])
    return l



METADATA = {}


def check(candidate):
    assert tuple(candidate([1, 2, 3])) == tuple(sort_third([1, 2, 3]))
    assert tuple(candidate([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])) == tuple(sort_third([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]))
    assert tuple(candidate([5, 8, -12, 4, 23, 2, 3, 11, 12, -10])) == tuple(sort_third([5, 8, -12, 4, 23, 2, 3, 11, 12, -10]))
    assert tuple(candidate([5, 6, 3, 4, 8, 9, 2])) == tuple([2, 6, 3, 4, 8, 9, 5])
    assert tuple(candidate([5, 8, 3, 4, 6, 9, 2])) == tuple([2, 8, 3, 4, 6, 9, 5])
    assert tuple(candidate([5, 6, 9, 4, 8, 3, 2])) == tuple([2, 6, 9, 4, 8, 3, 5])
    assert tuple(candidate([5, 6, 3, 4, 8, 9, 2, 1])) == tuple([2, 6, 3, 4, 8, 9, 5, 1])


check(sort_third)

```"
